. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 15:12:58.985891800 +0200 | 2002-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:01:18.911162600 +0200 | 2006-01/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 17:49:50.784679700 +0200 | 2008-08/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:05:05.156426600 +0200 | 2008-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:07.244039100 +0200 | 2010-08/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 17:55:06.262759600 +0200 | 2011-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 17:55:41.564461600 +0200 | 2011-03/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:06:37.086764600 +0200 | 2011-08/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:08:55.792042900 +0200 | 2011-10/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:01:53.717337500 +0200 | 2012-01/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:08:55.957231700 +0200 | 2012-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:39:25.307844300 +0200 | 2012-10/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:08:08.497660100 +0200 | 2012-11/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:46.898551400 +0200 | 2013-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:05:21.633660000 +0200 | 2013-05/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:07:41.840227200 +0200 | 2013-06/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:48.120902600 +0200 | 2013-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:40:33.236166700 +0200 | 2013-08/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:08:29.493946200 +0200 | 2013-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:42:24.819574900 +0200 | 2013-10/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:54.460161300 +0200 | 2013-11/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:54.610561800 +0200 | 2013-12/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:13:26.712773700 +0200 | 2014-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:14:06.942743400 +0200 | 2014-03/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:45:16.454963100 +0200 | 2014-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:15:51.542567800 +0200 | 2014-05/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:07:44.660342500 +0200 | 2014-06/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:06:56.769689700 +0200 | 2014-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:07:11.187675200 +0200 | 2014-08/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:07:11.333164100 +0200 | 2014-12/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:23:18.669066100 +0200 | 2015-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:47:36.518095800 +0200 | 2015-03/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:25:30.748734500 +0200 | 2015-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:50:40.028701300 +0200 | 2015-05/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:07:25.484981300 +0200 | 2015-06/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:28:09.023718000 +0200 | 2015-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:29:51.748395100 +0200 | 2015-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:53:16.620406300 +0200 | 2015-10/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:32:52.632446100 +0200 | 2015-11/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:34:41.199525900 +0200 | 2015-12/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:35:35.994250500 +0200 | 2016-01/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:35:56.784043300 +0200 | 2016-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:04:38.045251900 +0200 | 2016-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:36:47.964491400 +0200 | 2016-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:38:50.754086800 +0200 | 2017-01/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:39:48.604143200 +0200 | 2017-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2019-05-28 19:03:49.278935900 +0200 | 2017-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:41:23.977060900 +0200 | 2017-09/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:43:08.165808500 +0200 | 2017-11/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:46:32.739504600 +0200 | 2018-06/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:47:14.184476600 +0200 | 2018-07/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:49:41.720355200 +0200 | 2018-12/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:51:03.979086400 +0200 | 2019-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:30:57.336466600 +0200 | 2019-03/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:52:11.198865800 +0200 | 2019-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:52:53.538602500 +0200 | 2019-05/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-08-12 14:06:45.761373700 +0200 | Camera Roll/ 
. | - | rw-r--r-- | TO45610 | 1049089 | 504| 2022-03-14 14:24:34.119579900 +0100 | desktop.ini 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:58:53.683010500 +0200 | DessinTéléchargé/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:57:19.227470900 +0200 | PhotosTéléchargés/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-08-13 06:44:12.424512700 +0200 | Saved Pictures/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:57:26.628491600 +0200 | Tableaux/ 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 136712| 2002-09-20 07:50:02.000000000 +0200 | Anerkennung.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 206536| 2002-09-20 07:43:44.000000000 +0200 | BAC.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 678992| 2002-09-19 08:28:16.000000000 +0200 | BAC.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 160356| 2002-09-20 07:29:24.000000000 +0200 | EingangsPrüfung.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 341326| 2002-09-20 07:34:26.000000000 +0200 | EingangsPrüfung.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 103267| 2002-09-20 07:39:40.000000000 +0200 | ENSAM.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 629428| 2002-09-24 11:10:16.000000000 +0200 | Lichtbild.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 212895| 2002-10-21 08:37:40.000000000 +0200 | LichtBild_PrintA4.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 9095| 2002-10-17 11:26:04.000000000 +0200 | LichtbildKlein.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 843155| 2002-09-24 10:33:02.000000000 +0200 | Photo24-09-02.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 4216| 2009-02-12 20:51:02.000000000 +0100 | PhotoCVMarc.jpg 
./2006-0 | - | rw-r--r-- | TO45610 | 1049089 | 89353| 2006-01-05 13:44:36.000000000 +0100 | Neuschwanstein.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 643725| 2008-08-23 15:34:14.000000000 +0200 | dscf0254-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 642523| 2008-08-23 15:34:16.000000000 +0200 | dscf0260-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 184365| 2008-09-09 17:37:16.000000000 +0200 | dscf0007.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 157856| 2008-09-09 17:36:40.000000000 +0200 | dscf0019.jpg 
